County Name,City,Cantidad,Cantidad Abiertos,Cantidad Cerrados,rating
HILLSBOROUGH,GIBSONTON,1,1,0,4.0
PUTNAM,POMONA PARK,1,1,0,3.0
PASCO,WESLEY CHAPEL,15,9,6,3.47
NASSAU,FERNANDINA BEACH,10,7,3,3.9
COLUMBIA,LAKE CITY,6,5,1,3.33
CLAY,ORANGE PARK,17,11,6,3.06
SARASOTA,SARASOTA,57,33,24,3.47
BAKER,MACCLENNY,4,4,0,3.5
MARION,DUNNELLON,5,2,3,3.2
BREVARD,COCOA BEACH,6,2,4,3.67
SARASOTA,OSPREY,1,1,0,4.0
ALACHUA,MICANOPY,1,0,1,4.0
LEE,SANIBEL,1,0,1,4.0
BAY,PANAMA CITY BEACH,13,8,5,3.46
JEFFERSON,LAMONT,1,1,0,3.0
SUMTER,BUSHNELL,2,0,2,3.5
POLK,FROSTPROOF,3,3,0,3.33
CITRUS,BEVERLY HILLS,2,1,1,3.0
MARION,WEIRSDALE,1,1,0,3.0
INDIAN RIVER,SEBASTIAN,4,1,3,3.75
SAINT JOHNS,SAINT AUGUSTINE,32,22,10,3.56
HILLSBOROUGH,LUTZ,14,12,2,3.64
MANATEE,ELLENTON,4,3,1,3.25
NASSAU,HILLIARD,3,3,0,3.33
OKALOOSA,SHALIMAR,1,1,0,4.0
HILLSBOROUGH,ODESSA,6,6,0,3.33
POLK,BARTOW,3,2,1,4.0
BREVARD,SEBASTIAN,1,1,0,4.0
DUVAL,JACKSONVILLE BEACH,21,13,8,3.76
MANATEE,BRADENTON BEACH,3,2,1,3.33
POLK,WINTER HAVEN,11,7,4,3.45
OKALOOSA,DESTIN,15,8,7,3.47
HARDEE,BOWLING GREEN,1,0,1,4.0
BAY,LYNN HAVEN,3,2,1,3.67
SUWANNEE,BRANFORD,2,2,0,4.0
PASCO,HOLIDAY,4,2,2,3.75
CITRUS,FLORAL CITY,1,0,1,4.0
LEVY,WILLISTON,1,1,0,2.0
GADSDEN,HAVANA,1,0,1,4.0
COLLIER,EVERGLADES CITY,1,1,0,4.0
PINELLAS,CLEARWATER BEACH,6,3,3,3.17
VOLUSIA,NEW SMYRNA BEACH,7,5,2,3.14
JACKSON,SNEADS,1,1,0,4.0
ORANGE,ORLANDO,268,162,106,3.44
SEMINOLE,LONGWOOD,10,4,6,3.4
SAINT JOHNS,PONTE VEDRA,6,6,0,3.83
ORANGE,MAITLAND,3,2,1,3.0
SEMINOLE,WINTER SPRINGS,10,7,3,3.7
COLUMBIA,FORT WHITE,1,1,0,3.0
CITRUS,INVERNESS,6,3,3,3.17
ORANGE,WINDERMERE,3,2,1,4.0
VOLUSIA,DELAND,13,11,2,3.54
WASHINGTON,EBRO,1,1,0,4.0
BAY,MEXICO BEACH,1,1,0,3.0
MARION,SILVER SPRINGS,5,4,1,2.2
WALTON,ROSEMARY BEACH,1,1,0,4.0
DIXIE,CROSS CITY,3,3,0,3.33
CHARLOTTE,ENGLEWOOD,2,1,1,3.5
SUMTER,OXFORD,1,1,0,3.0
MIAMI-DADE,OPA LOCKA,10,7,3,3.4
BREVARD,PALM BAY,10,6,4,3.5
PINELLAS,CLEARWATER,41,22,19,3.59
BROWARD,HOLLYWOOD,84,52,32,3.52
BROWARD,POMPANO BEACH,67,46,21,3.27
LEE,BONITA SPRINGS,18,13,5,3.61
LAKE,CLERMONT,18,13,5,3.67
PASCO,ZEPHYRHILLS,5,5,0,3.8
WASHINGTON,VERNON,1,0,1,4.0
MIAMI-DADE,NORTH MIAMI BEACH,8,7,1,3.5
MANATEE,ANNA MARIA,1,1,0,5.0
SEMINOLE,LAKE MARY,18,7,11,3.39
SANTA ROSA,NAVARRE,1,1,0,4.0
PINELLAS,PALM HARBOR,11,9,2,3.55
PUTNAM,PALATKA,6,6,0,3.83
POLK,LAKE WALES,8,6,2,3.38
MANATEE,SARASOTA,6,5,1,3.0
ALACHUA,ARCHER,1,1,0,3.0
MARTIN,STUART,11,9,2,3.18
HILLSBOROUGH,BRANDON,23,14,9,3.26
LEE,CAPTIVA,1,1,0,3.0
LEE,FORT MYERS BEACH,6,4,2,3.33
OKALOOSA,MARY ESTHER,6,3,3,3.17
BREVARD,INDIALANTIC,2,1,1,4.0
SARASOTA,VENICE,12,8,4,3.08
SEMINOLE,SANFORD,24,13,11,2.83
DUVAL,ATLANTIC BEACH,5,1,4,3.2
HILLSBOROUGH,SUN CITY CENTER,1,1,0,3.0
WALTON,SANTA ROSA BEACH,5,4,1,3.8
PALM BEACH,SOUTH BAY,2,1,1,3.5
MONROE,SUMMERLAND KEY,1,1,0,4.0
PINELLAS,TARPON SPRINGS,9,4,5,4.11
SAINT JOHNS,HASTINGS,2,2,0,4.0
BREVARD,COCOA,6,4,2,3.17
SUWANNEE,LIVE OAK,5,3,2,3.4
SEMINOLE,GENEVA,2,2,0,3.5
SAINT LUCIE,PORT SAINT LUCIE,31,23,8,3.35
HILLSBOROUGH,PLANT CITY,2,2,0,3.5
PINELLAS,SAINT PETERSBURG,51,28,23,3.61
NASSAU,CALLAHAN,1,1,0,4.0
BREVARD,PATRICK AFB,2,0,2,3.5
MONROE,TAVERNIER,2,1,1,3.0
LEE,CAPE CORAL,18,12,6,3.67
HILLSBOROUGH,THONOTOSASSA,1,1,0,4.0
BROWARD,DEERFIELD BEACH,9,6,3,3.44
MIAMI-DADE,MIAMI BEACH,43,17,26,3.56
SUMTER,LAKE PANASOFFKEE,1,1,0,3.0
JACKSON,MARIANNA,2,1,1,3.5
MARTIN,JENSEN BEACH,13,11,2,3.46
HILLSBOROUGH,TAMPA,204,115,89,3.45
FLAGLER,BUNNELL,2,0,2,4.0
HILLSBOROUGH,APOLLO BEACH,1,0,1,3.0
VOLUSIA,PIERSON,1,0,1,5.0
PINELLAS,OLDSMAR,4,2,2,3.5
LAKE,LEESBURG,15,6,9,3.53
CHARLOTTE,ROTONDA WEST,1,0,1,4.0
MARION,OCALA,55,43,12,3.64
DUVAL,JACKSONVILLE,173,112,61,3.48
MARION,CITRA,2,1,1,4.0
VOLUSIA,ORMOND BEACH,17,11,6,3.53
OKALOOSA,HURLBURT FIELD,1,1,0,3.0
HILLSBOROUGH,SEFFNER,6,4,2,3.67
MARTIN,INDIANTOWN,1,1,0,3.0
ALACHUA,GAINESVILLE,62,28,34,3.37
SUMTER,WILDWOOD,7,5,2,2.86
CITRUS,HOMOSASSA,3,2,1,3.33
LEE,LEHIGH ACRES,6,6,0,3.67
OSCEOLA,SAINT CLOUD,11,9,2,3.18
MARION,BELLEVIEW,2,2,0,3.5
SUWANNEE,WELLBORN,1,1,0,4.0
PALM BEACH,BOCA RATON,68,38,30,3.47
DE SOTO,ARCADIA,7,5,2,3.43
SARASOTA,NOKOMIS,1,1,0,2.0
WALTON,FREEPORT,1,1,0,4.0
ALACHUA,ALACHUA,3,3,0,3.67
LEE,NORTH FORT MYERS,4,1,3,3.5
PALM BEACH,PALM BEACH GARDENS,22,14,8,3.14
CLAY,GREEN COVE SPRINGS,4,3,1,3.75
POLK,POLK CITY,1,1,0,2.0
CALHOUN,BLOUNTSTOWN,4,1,3,3.75
MANATEE,BRADENTON,48,26,22,3.56
ESCAMBIA,CANTONMENT,3,3,0,3.33
VOLUSIA,ORANGE CITY,3,2,1,3.33
PALM BEACH,WELLINGTON,10,7,3,3.3
DIXIE,HORSESHOE BEACH,1,1,0,4.0
OSCEOLA,KENANSVILLE,1,1,0,2.0
MARTIN,PALM CITY,2,2,0,3.0
OKALOOSA,NICEVILLE,6,4,2,3.67
ALACHUA,WALDO,1,0,1,4.0
GADSDEN,MIDWAY,1,1,0,3.0
SAINT JOHNS,SAINT JOHNS,11,10,1,3.0
SANTA ROSA,JAY,1,1,0,4.0
WASHINGTON,CHIPLEY,1,1,0,3.0
PALM BEACH,BELLE GLADE,12,10,2,3.75
CLAY,KEYSTONE HEIGHTS,3,3,0,3.67
ESCAMBIA,PENSACOLA,61,41,20,3.34
BRADFORD,STARKE,3,3,0,3.67
JEFFERSON,MONTICELLO,2,2,0,3.5
HIGHLANDS,LAKE PLACID,4,3,1,3.75
VOLUSIA,PORT ORANGE,14,5,9,3.57
ORANGE,WINTER PARK,22,17,5,3.5
VOLUSIA,OSTEEN,1,1,0,3.0
COLLIER,MARCO ISLAND,7,4,3,3.43
PASCO,LAND O LAKES,4,3,1,3.75
PALM BEACH,DELRAY BEACH,32,17,15,3.5
HERNANDO,BROOKSVILLE,19,14,5,3.42
PALM BEACH,JUPITER,20,13,7,3.85
DUVAL,NEPTUNE BEACH,2,1,1,3.0
HENDRY,CLEWISTON,6,6,0,3.5
BROWARD,DANIA,3,1,2,2.67
CHARLOTTE,PUNTA GORDA,13,9,4,3.69
PALM BEACH,NORTH PALM BEACH,6,5,1,3.67
HILLSBOROUGH,DOVER,3,2,1,4.0
PINELLAS,LARGO,24,15,9,3.54
GADSDEN,GREENSBORO,1,1,0,4.0
VOLUSIA,DELTONA,10,10,0,3.6
FRANKLIN,CARRABELLE,2,1,1,3.5
BAY,PANAMA CITY,35,12,23,3.63
HILLSBOROUGH,WIMAUMA,2,2,0,3.0
GILCHRIST,TRENTON,2,2,0,3.0
BREVARD,MIMS,2,1,1,4.5
PUTNAM,CRESCENT CITY,1,1,0,4.0
LEVY,CEDAR KEY,1,0,1,4.0
SAINT JOHNS,ELKTON,1,1,0,3.0
LEE,BOKEELIA,1,1,0,3.0
HILLSBOROUGH,RUSKIN,4,3,1,3.75
SUMTER,THE VILLAGES,10,6,4,3.4
BREVARD,SATELLITE BEACH,4,3,1,3.0
VOLUSIA,DAYTONA BEACH,29,15,14,3.38
ORANGE,OCOEE,12,9,3,3.92
SARASOTA,ENGLEWOOD,2,1,1,4.0
PUTNAM,EAST PALATKA,2,1,1,3.0
SANTA ROSA,MILTON,18,15,3,3.56
MANATEE,PALMETTO,3,3,0,4.33
HIGHLANDS,SEBRING,4,4,0,4.0
BREVARD,MELBOURNE,46,27,19,3.57
PASCO,SAN ANTONIO,2,2,0,4.0
MONROE,KEY WEST,18,9,9,3.61
MARION,FORT MC COY,4,4,0,3.75
WAKULLA,PANACEA,1,1,0,4.0
MADISON,MADISON,4,2,2,3.5
SAINT JOHNS,PONTE VEDRA BEACH,4,4,0,3.5
OKEECHOBEE,OKEECHOBEE,8,7,1,2.88
SEMINOLE,OVIEDO,22,9,13,3.41
SEMINOLE,CASSELBERRY,3,1,2,3.33
LEE,ESTERO,7,3,4,3.29
OKALOOSA,CRESTVIEW,5,3,2,3.4
LEVY,INGLIS,1,1,0,3.0
LAKE,ASTOR,1,0,1,3.0
COLLIER,IMMOKALEE,4,3,1,3.75
PALM BEACH,LOXAHATCHEE,2,1,1,3.0
HILLSBOROUGH,VALRICO,5,4,1,4.0
PINELLAS,DUNEDIN,3,2,1,3.67
PUTNAM,FLORAHOME,1,1,0,3.0
WALTON,DEFUNIAK SPRINGS,2,2,0,3.0
OKALOOSA,EGLIN AFB,5,5,0,3.6
WALTON,MIRAMAR BEACH,7,3,4,3.0
MONROE,BIG PINE KEY,2,2,0,3.5
CITRUS,HERNANDO,1,1,0,4.0
CHARLOTTE,PORT CHARLOTTE,17,12,5,3.76
MARTIN,HOBE SOUND,2,2,0,3.0
FLAGLER,FLAGLER BEACH,3,0,3,3.33
SANTA ROSA,GULF BREEZE,11,7,4,3.45
LEE,SAINT JAMES CITY,1,1,0,4.0
PUTNAM,MELROSE,3,3,0,3.67
LAKE,EUSTIS,4,4,0,3.75
POLK,DAVENPORT,14,12,2,3.5
PALM BEACH,BOYNTON BEACH,32,25,7,3.5
LEON,TALLAHASSEE,66,40,26,3.48
PINELLAS,SAFETY HARBOR,4,1,3,4.0
HENDRY,LABELLE,4,3,1,3.5
SAINT LUCIE,FORT PIERCE,10,6,4,3.5
JACKSON,GRACEVILLE,1,1,0,3.0
HILLSBOROUGH,RIVERVIEW,13,5,8,3.15
ORANGE,WINTER GARDEN,14,10,4,3.43
POLK,LAKELAND,56,36,20,3.45
POLK,DUNDEE,1,1,0,3.0
WAKULLA,CRAWFORDVILLE,6,3,3,3.33
LEE,FORT MYERS,88,64,24,3.56
CLAY,FLEMING ISLAND,7,7,0,3.57
PALM BEACH,PAHOKEE,1,0,1,5.0
LIBERTY,BRISTOL,1,0,1,4.0
POLK,HAINES CITY,10,8,2,3.9
LAKE,MOUNT DORA,14,13,1,3.79
OKALOOSA,FORT WALTON BEACH,14,8,6,3.43
PASCO,HUDSON,3,0,3,3.0
PALM BEACH,LAKE WORTH,29,20,9,3.45
MIAMI-DADE,HIALEAH,43,31,12,3.42
PINELLAS,PINELLAS PARK,11,6,5,4.09
BROWARD,PLANTATION,1,1,0,3.0
MIAMI-DADE,HOMESTEAD,19,11,8,3.63
WAKULLA,SAINT MARKS,1,1,0,3.0
HIGHLANDS,AVON PARK,4,3,1,4.0
MIAMI-DADE,MIAMI GARDENS,3,2,1,3.67
HARDEE,WAUCHULA,6,3,3,3.83
SARASOTA,NORTH PORT,6,5,1,3.17
SEMINOLE,ALTAMONTE SPRINGS,15,10,5,3.47
POLK,AUBURNDALE,5,4,1,3.4
BREVARD,MERRITT ISLAND,9,5,4,3.56
HARDEE,ZOLFO SPRINGS,1,1,0,4.0
VOLUSIA,EDGEWATER,3,3,0,4.33
COLLIER,NAPLES,98,64,34,3.51
MIAMI-DADE,MIAMI,380,237,143,3.58
ALACHUA,HIGH SPRINGS,2,2,0,4.0
INDIAN RIVER,VERO BEACH,25,15,10,3.52
MARION,REDDICK,2,1,1,4.0
BAKER,GLEN SAINT MARY,1,1,0,2.0
LEVY,BRONSON,1,0,1,1.0
LEE,BOCA GRANDE,1,1,0,4.0
POLK,FORT MEADE,4,4,0,3.0
PASCO,NEW PORT RICHEY,16,13,3,3.69
PALM BEACH,PALM BEACH,6,2,4,4.17
PASCO,PORT RICHEY,7,1,6,3.14
NASSAU,YULEE,7,5,2,3.29
FLAGLER,PALM COAST,8,6,2,3.75
SEMINOLE,LAKE MONROE,1,1,0,4.0
VOLUSIA,DE LEON SPRINGS,1,0,1,4.0
LAKE,GROVELAND,1,1,0,4.0
BREVARD,TITUSVILLE,10,3,7,3.2
MARION,SUMMERFIELD,3,3,0,4.0
OSCEOLA,KISSIMMEE,36,23,13,3.19
CLAY,MIDDLEBURG,8,7,1,3.0
MIAMI-DADE,KEY BISCAYNE,5,5,0,3.8
LEVY,CHIEFLAND,3,1,2,3.0
PINELLAS,SEMINOLE,10,7,3,3.7
BROWARD,HALLANDALE,5,2,3,2.4
CITRUS,CRYSTAL RIVER,3,3,0,2.67
LAKE,TAVARES,4,3,1,3.5
BROWARD,PEMBROKE PINES,4,3,1,3.75
MONROE,KEY LARGO,13,10,3,3.62
PASCO,DADE CITY,2,2,0,4.0
GULF,WEWAHITCHKA,2,2,0,3.5
HILLSBOROUGH,LITHIA,3,3,0,4.0
ORANGE,OAKLAND,1,1,0,4.0
FRANKLIN,APALACHICOLA,4,2,2,4.0
LAKE,SORRENTO,1,1,0,4.0
ALACHUA,NEWBERRY,5,5,0,3.4
PALM BEACH,WEST PALM BEACH,78,53,25,3.36
ORANGE,APOPKA,10,7,3,3.4
LAKE,LADY LAKE,4,1,3,3.5
POLK,MULBERRY,2,1,1,3.5
GADSDEN,QUINCY,8,7,1,3.75
MONROE,MARATHON,3,2,1,4.0
LEE,ALVA,2,0,2,3.0
BREVARD,ROCKLEDGE,4,2,2,4.25
HERNANDO,SPRING HILL,16,14,2,3.69
BROWARD,FORT LAUDERDALE,185,103,82,3.37
