County Name,City,poblacion
ALACHUA,HIGH SPRINGS,6215.0
ALACHUA,ARCHER,1140.0
ALACHUA,HAWTHORNE,1478.0
ALACHUA,GAINESVILLE,141085.0
ALACHUA,WALDO,846.0
ALACHUA,NEWBERRY,7342.0
ALACHUA,ALACHUA,10574.0
BAKER,MACCLENNY,7304.0
BAY,MEXICO BEACH,916.0
BAY,LYNN HAVEN,18695.0
BAY,PANAMA CITY,32939.0
BAY,PANAMA CITY BEACH,18094.0
BRADFORD,STARKE,5796.0
BRADFORD,HAMPTON,432.0
BRADFORD,LAWTEY,636.0
BREVARD,ROCKLEDGE,27678.0
BREVARD,COCOA BEACH,11354.0
BREVARD,SEBASTIAN,25054.0
BREVARD,TITUSVILLE,48789.0
BREVARD,COCOA,19041.0
BREVARD,SATELLITE BEACH,11226.0
BREVARD,ORLANDO,307573.0
BREVARD,PALM BAY,119760.0
BREVARD,MELBOURNE,84678.0
BREVARD,CAPE CANAVERAL,9972.0
BROWARD,FORT LAUDERDALE,182760.0
BROWARD,PEMBROKE PINES,171178.0
BROWARD,POMPANO BEACH,112046.0
BROWARD,DEERFIELD BEACH,86859.0
BROWARD,PLANTATION,91750.0
BROWARD,CORAL SPRINGS,134394.0
BROWARD,HOLLYWOOD,153067.0
BROWARD,COCONUT CREEK,57833.0
BROWARD,MARGATE,58712.0
CALHOUN,BLOUNTSTOWN,2266.0
CALHOUN,WEWAHITCHKA,2074.0
CHARLOTTE,PUNTA GORDA,19471.0
CITRUS,CRYSTAL RIVER,3396.0
CITRUS,INVERNESS,7543.0
CITRUS,DUNNELLON,1928.0
CLAY,GREEN COVE SPRINGS,9786.0
CLAY,KEYSTONE HEIGHTS,1446.0
COLLIER,MARCO ISLAND,15760.0
COLLIER,NAPLES,19115.0
COLUMBIA,LAKE CITY,12329.0
DE SOTO,ARCADIA,7420.0
DUVAL,ATLANTIC BEACH,13513.0
DUVAL,JACKSONVILLE BEACH,23830.0
DUVAL,JACKSONVILLE,949611.0
DUVAL,NEPTUNE BEACH,7217.0
ESCAMBIA,PENSACOLA,54312.0
FLAGLER,FLAGLER BEACH,5160.0
FLAGLER,BUNNELL,3276.0
FLAGLER,PALM COAST,89258.0
FRANKLIN,CARRABELLE,2606.0
FRANKLIN,APALACHICOLA,2341.0
GADSDEN,GRETNA,1357.0
GADSDEN,MIDWAY,3537.0
GADSDEN,CHATTAHOOCHEE,2955.0
GADSDEN,QUINCY,7970.0
GILCHRIST,TRENTON,2015.0
GLADES,MOORE HAVEN,1566.0
GULF,WEWAHITCHKA,2074.0
HAMILTON,JASPER,3621.0
HARDEE,WAUCHULA,4900.0
HARDEE,BOWLING GREEN,2405.0
HENDRY,CLEWISTON,7327.0
HENDRY,LABELLE,4966.0
HERNANDO,BROOKSVILLE,8890.0
HIGHLANDS,SEBRING,10729.0
HIGHLANDS,AVON PARK,9658.0
HILLSBOROUGH,TAMPA,384959.0
HILLSBOROUGH,PLANT CITY,39764.0
HOLMES,BONIFAY,2759.0
INDIAN RIVER,SEBASTIAN,25054.0
INDIAN RIVER,FELLSMERE,4834.0
INDIAN RIVER,VERO BEACH,16354.0
JACKSON,MARIANNA,6245.0
JACKSON,GRACEVILLE,2153.0
JEFFERSON,MONTICELLO,2589.0
LAKE,UMATILLA,3685.0
LAKE,CLERMONT,43021.0
LAKE,MASCOTTE,6609.0
LAKE,MINNEOLA,13843.0
LAKE,FRUITLAND PARK,8325.0
LAKE,TAVARES,19003.0
LAKE,MOUNT DORA,16341.0
LAKE,LEESBURG,27000.0
LAKE,EUSTIS,23189.0
LAKE,GROVELAND,18505.0
LEE,BONITA SPRINGS,53644.0
LEE,FORT MYERS,86395.0
LEE,SANIBEL,6382.0
LEE,CAPE CORAL,194016.0
LEON,TALLAHASSEE,196169.0
LEVY,WILLISTON,2976.0
LEVY,CHIEFLAND,2316.0
LEVY,CEDAR KEY,687.0
LIBERTY,BRISTOL,918.0
MADISON,MADISON,2912.0
MANATEE,BRADENTON BEACH,908.0
MANATEE,BRADENTON,55698.0
MANATEE,SARASOTA,54842.0
MANATEE,ANNA MARIA,968.0
MANATEE,PALMETTO,13323.0
MANATEE,HOLMES BEACH,3010.0
MARION,BELLEVIEW,5413.0
MARION,OCALA,63591.0
MARION,DUNNELLON,1928.0
MARTIN,STUART,17425.0
MIAMI-DADE,HIALEAH,223109.0
MIAMI-DADE,MIAMI BEACH,82890.0
MIAMI-DADE,MIAMI GARDENS,111640.0
MIAMI-DADE,HOMESTEAD,80737.0
MIAMI-DADE,NORTH MIAMI BEACH,43676.0
MIAMI-DADE,CORAL GABLES,49248.0
MIAMI-DADE,MIAMI,442241.0
MONROE,KEY COLONY BEACH,790.0
MONROE,KEY WEST,26444.0
MONROE,MARATHON,9689.0
NASSAU,FERNANDINA BEACH,13052.0
OKALOOSA,VALPARAISO,4752.0
OKALOOSA,FORT WALTON BEACH,20922.0
OKALOOSA,NICEVILLE,15772.0
OKALOOSA,LAUREL HILL,584.0
OKALOOSA,DESTIN,13931.0
OKALOOSA,MARY ESTHER,3982.0
OKALOOSA,CRESTVIEW,27134.0
OKEECHOBEE,OKEECHOBEE,5254.0
ORANGE,WINTER PARK,29795.0
ORANGE,APOPKA,54873.0
ORANGE,ORLANDO,307573.0
ORANGE,OCOEE,47295.0
ORANGE,WINTER GARDEN,46964.0
ORANGE,MAITLAND,19543.0
OSCEOLA,KISSIMMEE,79226.0
PALM BEACH,BOYNTON BEACH,80380.0
PALM BEACH,GREENACRES,43990.0
PALM BEACH,DELRAY BEACH,66846.0
PALM BEACH,BELLE GLADE,16698.0
PALM BEACH,SOUTH BAY,4860.0
PALM BEACH,WEST PALM BEACH,117415.0
PALM BEACH,PALM BEACH GARDENS,59182.0
PALM BEACH,PAHOKEE,5524.0
PALM BEACH,BOCA RATON,97422.0
PASCO,SAN ANTONIO,1297.0
PASCO,PORT RICHEY,3052.0
PASCO,DADE CITY,7275.0
PASCO,ZEPHYRHILLS,17194.0
PASCO,NEW PORT RICHEY,16728.0
PINELLAS,SAFETY HARBOR,17072.0
PINELLAS,INDIAN ROCKS BEACH,3673.0
PINELLAS,DUNEDIN,36068.0
PINELLAS,OLDSMAR,14898.0
PINELLAS,SEMINOLE,19364.0
PINELLAS,BELLEAIR BEACH,1633.0
PINELLAS,LARGO,82485.0
PINELLAS,PINELLAS PARK,53093.0
PINELLAS,CLEARWATER,117292.0
PINELLAS,TARPON SPRINGS,25117.0
POLK,FROSTPROOF,2877.0
POLK,BARTOW,19309.0
POLK,AUBURNDALE,15616.0
POLK,LAKELAND,112641.0
POLK,DAVENPORT,9043.0
POLK,WINTER HAVEN,49219.0
POLK,LAKE ALFRED,6374.0
POLK,EAGLE LAKE,3008.0
POLK,KISSIMMEE,79226.0
POLK,HAINES CITY,26669.0
POLK,FORT MEADE,5100.0
POLK,MULBERRY,3952.0
POLK,LAKE WALES,16361.0
PUTNAM,PALATKA,10446.0
PUTNAM,CRESCENT CITY,1654.0
SAINT JOHNS,JACKSONVILLE,949611.0
SAINT LUCIE,FORT PIERCE,47297.0
SANTA ROSA,GULF BREEZE,6302.0
SANTA ROSA,MILTON,10197.0
SARASOTA,SARASOTA,54842.0
SARASOTA,NORTH PORT,74793.0
SARASOTA,VENICE,25463.0
SEMINOLE,ALTAMONTE SPRINGS,46231.0
SEMINOLE,CASSELBERRY,28794.0
SEMINOLE,SANFORD,61051.0
SEMINOLE,OVIEDO,40059.0
SEMINOLE,WINTER SPRINGS,38342.0
SEMINOLE,LONGWOOD,15087.0
SEMINOLE,LAKE MARY,16798.0
SUMTER,CENTER HILL,846.0
SUMTER,WEBSTER,778.0
SUMTER,COLEMAN,642.0
SUMTER,WILDWOOD,15730.0
SUMTER,BUSHNELL,3047.0
SUWANNEE,LIVE OAK,6735.0
TAYLOR,PERRY,6898.0
UNION,LAKE BUTLER,1986.0
VOLUSIA,NEW SMYRNA BEACH,30142.0
VOLUSIA,ORMOND BEACH,43080.0
VOLUSIA,LAKE HELEN,2842.0
VOLUSIA,ORANGE CITY,12632.0
VOLUSIA,EDGEWATER,23097.0
VOLUSIA,OAK HILL,1986.0
VOLUSIA,DEBARY,22260.0
VOLUSIA,DELAND,37351.0
VOLUSIA,DELTONA,93692.0
VOLUSIA,DAYTONA BEACH,72647.0
VOLUSIA,PORT ORANGE,62596.0
WAKULLA,SOPCHOPPY,426.0
WALTON,DEFUNIAK SPRINGS,5919.0
WALTON,FREEPORT,5861.0
WASHINGTON,CHIPLEY,3660.0
WASHINGTON,VERNON,732.0
